timesteps,episode_reward,episode_length
96.0,-9.873634,96.0
192.0,-13.848006,96.0
288.0,-12.434819,96.0
384.0,-14.342397,96.0
480.0,-14.37228,96.0
576.0,-14.454495,96.0
672.0,-9.663803,96.0
768.0,-12.915389,96.0
864.0,-14.052107,96.0
960.0,-10.391726,96.0
1056.0,-14.320997,96.0
1152.0,-14.296931,96.0
1248.0,-13.311509,96.0
1344.0,-13.775929,96.0
1440.0,-12.566284,96.0
1536.0,-13.803068,96.0
1632.0,-14.100177,96.0
1728.0,-12.762579,96.0
1824.0,-14.189409,96.0
1920.0,-14.452174,96.0
2016.0,-14.402177,96.0
2112.0,-13.290173,96.0
2208.0,-13.530144,96.0
2304.0,-14.544346,96.0
2400.0,-13.923187,96.0
2496.0,-13.24237,96.0
2592.0,-14.239465,96.0
2688.0,-13.922571,96.0
2784.0,-14.269921,96.0
2880.0,-14.197907,96.0
2976.0,-14.466612,96.0
3072.0,-14.095302,96.0
3168.0,-10.066294,96.0
3264.0,-14.4046,96.0
3360.0,-14.380204,96.0
3456.0,-11.228288,96.0
3552.0,-14.505222,96.0
3648.0,-14.012373,96.0
3744.0,-13.233797,96.0
3840.0,-13.141138,96.0
3936.0,-13.14157,96.0
4032.0,-13.576567,96.0
4128.0,-12.656255,96.0
4224.0,-13.191467,96.0
4320.0,-11.342201,96.0
4416.0,-13.994354,96.0
4512.0,-14.434665,96.0
4608.0,-14.061285,96.0
4704.0,-13.040866,96.0
4800.0,-13.808045,96.0
4896.0,-13.65721,96.0
4992.0,-13.744254,96.0
5088.0,-13.072266,96.0
5184.0,-13.958333,96.0
5280.0,-14.299377,96.0
5376.0,-10.510199,96.0
5472.0,-14.406293,96.0
5568.0,-13.32101,96.0
5664.0,-13.474774,96.0
5760.0,-13.141156,96.0
5856.0,-14.257783,96.0
5952.0,-13.48318,96.0
6048.0,-13.243332,96.0
6144.0,-13.764017,96.0
6240.0,-14.132359,96.0
6336.0,-12.319055,96.0
6432.0,-14.835816,96.0
6528.0,-13.32715,96.0
6624.0,-10.132188,96.0
6720.0,-13.941498,96.0
6816.0,-13.311834,96.0
6912.0,-13.407519,96.0
7008.0,-14.155984,96.0
7104.0,-12.996248,96.0
7200.0,-13.136202,96.0
7296.0,-14.080142,96.0
7392.0,-12.148313,96.0
7488.0,-14.050851,96.0
7584.0,-13.901181,96.0
7680.0,-12.414709,96.0
7776.0,-13.911068,96.0
7872.0,-14.293224,96.0
7968.0,-12.649381,96.0
8064.0,-14.072134,96.0
8160.0,-13.293089,96.0
8256.0,-12.701491,96.0
8352.0,-10.808444,96.0
8448.0,-12.730198,96.0
8544.0,-13.719885,96.0
8640.0,-14.187495,96.0
8736.0,-14.316369,96.0
8832.0,-12.930322,96.0
8928.0,-14.153754,96.0
9024.0,-13.171905,96.0
9120.0,-14.246617,96.0
9216.0,-12.917885,96.0
9312.0,-13.890934,96.0
9408.0,-13.033689,96.0
9504.0,-13.264432,96.0
9600.0,-12.771925,96.0
9696.0,-14.183998,96.0
9792.0,-14.09844,96.0
9888.0,-12.92487,96.0
9984.0,-11.100353,96.0
10080.0,-13.035236,96.0
10176.0,-13.921223,96.0
10272.0,-13.972686,96.0
10368.0,-12.094593,96.0
10464.0,-13.885195,96.0
10560.0,-12.304989,96.0
10656.0,-13.167809,96.0
10752.0,-13.915095,96.0
10848.0,-14.382964,96.0
10944.0,-14.380755,96.0
11040.0,-14.405817,96.0
11136.0,-13.951301,96.0
11232.0,-11.028808,96.0
11328.0,-12.706825,96.0
11424.0,-14.400867,96.0
11520.0,-12.709565,96.0
11616.0,-14.305328,96.0
11712.0,-12.476322,96.0
11808.0,-12.490321,96.0
11904.0,-13.881519,96.0
12000.0,-14.487615,96.0
12096.0,-13.95803,96.0
12192.0,-9.312574,96.0
12288.0,-13.737155,96.0
12384.0,-14.471462,96.0
12480.0,-13.146259,96.0
12576.0,-13.965632,96.0
12672.0,-14.364435,96.0
12768.0,-9.895388,96.0
12864.0,-14.210185,96.0
12960.0,-13.458505,96.0
13056.0,-12.353983,96.0
13152.0,-13.963272,96.0
13248.0,-10.982104,96.0
13344.0,-13.131856,96.0
13440.0,-14.314436,96.0
13536.0,-14.010201,96.0
13632.0,-14.141165,96.0
13728.0,-13.209392,96.0
13824.0,-14.058232,96.0
13920.0,-13.607793,96.0
14016.0,-14.266711,96.0
14112.0,-11.024536,96.0
14208.0,-13.760396,96.0
14304.0,-13.769262,96.0
14400.0,-10.627114,96.0
14496.0,-14.407013,96.0
14592.0,-12.762784,96.0
