timesteps,episode_reward,episode_length
96.0,-9.913384,96.0
192.0,-13.747994,96.0
288.0,-12.436133,96.0
384.0,-14.232272,96.0
480.0,-14.349406,96.0
576.0,-14.384294,96.0
672.0,-9.614101,96.0
768.0,-12.774979,96.0
864.0,-13.981815,96.0
960.0,-10.358275,96.0
1056.0,-14.211711,96.0
1152.0,-14.180769,96.0
1248.0,-13.204715,96.0
1344.0,-13.590252,96.0
1440.0,-12.444422,96.0
1536.0,-13.810739,96.0
1632.0,-14.028727,96.0
1728.0,-12.636858,96.0
1824.0,-14.042922,96.0
1920.0,-14.381474,96.0
2016.0,-14.349152,96.0
2112.0,-13.210622,96.0
2208.0,-13.492448,96.0
2304.0,-14.464866,96.0
2400.0,-13.889524,96.0
2496.0,-13.168396,96.0
2592.0,-14.172505,96.0
2688.0,-13.811376,96.0
2784.0,-14.23607,96.0
2880.0,-14.134404,96.0
2976.0,-14.375203,96.0
3072.0,-14.032047,96.0
3168.0,-10.025484,96.0
3264.0,-14.349675,96.0
3360.0,-14.281261,96.0
3456.0,-11.297646,96.0
3552.0,-14.405485,96.0
3648.0,-13.978455,96.0
3744.0,-13.071698,96.0
3840.0,-13.092036,96.0
3936.0,-13.08473,96.0
4032.0,-13.425422,96.0
4128.0,-12.571722,96.0
4224.0,-13.078577,96.0
4320.0,-11.360136,96.0
4416.0,-13.941665,96.0
4512.0,-14.367897,96.0
4608.0,-13.982996,96.0
4704.0,-12.970148,96.0
4800.0,-13.723093,96.0
4896.0,-13.42442,96.0
4992.0,-13.672573,96.0
5088.0,-12.947275,96.0
5184.0,-13.887203,96.0
5280.0,-14.270428,96.0
5376.0,-10.472189,96.0
5472.0,-14.378983,96.0
5568.0,-13.152864,96.0
5664.0,-13.388636,96.0
5760.0,-13.035963,96.0
5856.0,-14.216244,96.0
5952.0,-13.587488,96.0
6048.0,-13.133829,96.0
6144.0,-13.665315,96.0
6240.0,-14.098848,96.0
6336.0,-12.269112,96.0
6432.0,-14.784517,96.0
6528.0,-13.231668,96.0
6624.0,-10.154177,96.0
6720.0,-13.897561,96.0
6816.0,-13.205873,96.0
6912.0,-13.315866,96.0
7008.0,-14.114554,96.0
7104.0,-12.8734,96.0
7200.0,-13.051938,96.0
7296.0,-14.001239,96.0
7392.0,-11.978001,96.0
7488.0,-14.038296,96.0
7584.0,-13.890088,96.0
7680.0,-12.347934,96.0
7776.0,-13.849806,96.0
7872.0,-14.271319,96.0
7968.0,-12.581878,96.0
8064.0,-14.050984,96.0
8160.0,-13.220027,96.0
8256.0,-12.609584,96.0
8352.0,-10.755829,96.0
8448.0,-12.660461,96.0
8544.0,-13.568768,96.0
8640.0,-14.154,96.0
8736.0,-14.29415,96.0
8832.0,-12.829873,96.0
8928.0,-14.014248,96.0
9024.0,-13.081087,96.0
9120.0,-14.219841,96.0
9216.0,-12.875673,96.0
9312.0,-13.866017,96.0
9408.0,-13.018512,96.0
9504.0,-13.24549,96.0
9600.0,-12.688605,96.0
9696.0,-14.134935,96.0
9792.0,-14.079746,96.0
9888.0,-12.817317,96.0
9984.0,-11.284766,96.0
10080.0,-12.895315,96.0
10176.0,-13.871637,96.0
10272.0,-14.001854,96.0
10368.0,-12.012901,96.0
10464.0,-13.860462,96.0
10560.0,-12.096422,96.0
10656.0,-13.050804,96.0
10752.0,-13.998064,96.0
10848.0,-14.343645,96.0
10944.0,-14.278398,96.0
11040.0,-14.34381,96.0
11136.0,-13.977234,96.0
11232.0,-10.68911,96.0
11328.0,-12.538656,96.0
11424.0,-14.298868,96.0
11520.0,-12.626959,96.0
11616.0,-14.311512,96.0
11712.0,-12.334241,96.0
11808.0,-12.317474,96.0
11904.0,-13.854421,96.0
12000.0,-14.379377,96.0
12096.0,-13.867136,96.0
12192.0,-9.208834,96.0
12288.0,-13.964815,96.0
12384.0,-14.423177,96.0
12480.0,-13.267171,96.0
12576.0,-13.905732,96.0
12672.0,-14.426958,96.0
12768.0,-10.051021,96.0
12864.0,-14.257739,96.0
12960.0,-13.38585,96.0
13056.0,-12.229924,96.0
13152.0,-13.801574,96.0
13248.0,-10.854649,96.0
13344.0,-12.93019,96.0
13440.0,-14.214585,96.0
13536.0,-13.835712,96.0
13632.0,-14.170653,96.0
13728.0,-13.098853,96.0
13824.0,-14.035274,96.0
13920.0,-13.429144,96.0
14016.0,-14.152376,96.0
14112.0,-11.131725,96.0
14208.0,-13.660478,96.0
14304.0,-13.653853,96.0
14400.0,-10.298881,96.0
14496.0,-14.33531,96.0
14592.0,-12.695089,96.0
14688.0,-13.927065,96.0
14784.0,-13.333656,96.0
14880.0,-14.308582,96.0
14976.0,-12.159131,96.0
15072.0,-12.72089,96.0
15168.0,-14.283404,96.0
15264.0,-14.291777,96.0
15360.0,-13.939775,96.0
15456.0,-13.680638,96.0
15552.0,-12.071812,96.0
15648.0,-14.135625,96.0
15744.0,-13.953977,96.0
15840.0,-13.958994,96.0
15936.0,-13.350992,96.0
16032.0,-12.335147,96.0
16128.0,-13.330751,96.0
16224.0,-12.03588,96.0
16320.0,-10.804668,96.0
16416.0,-11.405892,96.0
16512.0,-10.089519,96.0
16608.0,-13.590242,96.0
16704.0,-12.876538,96.0
16800.0,-12.673357,96.0
16896.0,-14.231407,96.0
16992.0,-12.588576,96.0
17088.0,-12.852388,96.0
17184.0,-14.449863,96.0
17280.0,-14.405516,96.0
17376.0,-13.990534,96.0
17472.0,-13.392738,96.0
17568.0,-14.217402,96.0
17664.0,-12.718086,96.0
17760.0,-14.299503,96.0
17856.0,-14.338325,96.0
17952.0,-13.187647,96.0
18048.0,-12.830097,96.0
18144.0,-13.820955,96.0
18240.0,-12.259517,96.0
18336.0,-13.000466,96.0
18432.0,-13.097137,96.0
18528.0,-13.720745,96.0
18624.0,-13.023125,96.0
18720.0,-13.452117,96.0
18816.0,-9.879259,96.0
18912.0,-12.397303,96.0
19008.0,-12.800727,96.0
19104.0,-12.288472,96.0
19200.0,-13.445289,96.0
19296.0,-13.073568,96.0
19392.0,-14.477414,96.0
19488.0,-14.235892,96.0
19584.0,-12.647001,96.0
19680.0,-14.371699,96.0
19776.0,-13.709023,96.0
19872.0,-13.759335,96.0
19968.0,-13.838788,96.0
20064.0,-13.581768,96.0
20160.0,-13.925677,96.0
20256.0,-13.520976,96.0
20352.0,-12.736614,96.0
20448.0,-13.795137,96.0
20544.0,-14.429208,96.0
20640.0,-13.38372,96.0
20736.0,-13.591651,96.0
20832.0,-9.242333,96.0
20928.0,-10.593776,96.0
21024.0,-14.258068,96.0
21120.0,-14.618511,96.0
21216.0,-12.721589,96.0
21312.0,-14.43836,96.0
21408.0,-12.482159,96.0
21504.0,-13.935908,96.0
21600.0,-13.022412,96.0
21696.0,-12.302242,96.0
21792.0,-13.294995,96.0
21888.0,-14.088113,96.0
21984.0,-14.305528,96.0
22080.0,-13.78714,96.0
22176.0,-14.090353,96.0
22272.0,-14.471462,96.0
22368.0,-11.09804,96.0
22464.0,-13.360795,96.0
22560.0,-14.198308,96.0
22656.0,-12.705197,96.0
22752.0,-12.150203,96.0
22848.0,-14.142075,96.0
22944.0,-12.489467,96.0
23040.0,-13.584199,96.0
23136.0,-12.752699,96.0
23232.0,-13.469588,96.0
23328.0,-10.291786,96.0
23424.0,-12.668827,96.0
23520.0,-13.51221,96.0
23616.0,-9.416809,96.0
23712.0,-13.380486,96.0
23808.0,-13.965906,96.0
23904.0,-13.697047,96.0
24000.0,-10.669567,96.0
24096.0,-13.511238,96.0
24192.0,-14.269973,96.0
24288.0,-13.277426,96.0
24384.0,-12.075619,96.0
24480.0,-12.070421,96.0
24576.0,-12.811451,96.0
24672.0,-12.901548,96.0
24768.0,-11.390276,96.0
24864.0,-13.689216,96.0
24960.0,-13.541906,96.0
25056.0,-13.434162,96.0
25152.0,-13.410666,96.0
25248.0,-12.319117,96.0
25344.0,-14.36633,96.0
25440.0,-13.585818,96.0
25536.0,-13.687629,96.0
25632.0,-14.377876,96.0
25728.0,-12.966734,96.0
25824.0,-13.439408,96.0
25920.0,-13.752409,96.0
26016.0,-13.335998,96.0
26112.0,-11.144897,96.0
26208.0,-13.393777,96.0
26304.0,-13.546664,96.0
26400.0,-13.981706,96.0
26496.0,-14.389805,96.0
26592.0,-13.947038,96.0
26688.0,-13.866148,96.0
26784.0,-11.403966,96.0
26880.0,-9.343062,96.0
26976.0,-13.138911,96.0
27072.0,-14.347135,96.0
27168.0,-12.27522,96.0
27264.0,-14.126905,96.0
27360.0,-14.200265,96.0
27456.0,-13.888771,96.0
27552.0,-12.701143,96.0
27648.0,-14.096314,96.0
27744.0,-14.264631,96.0
27840.0,-14.007454,96.0
27936.0,-13.151683,96.0
28032.0,-13.681673,96.0
28128.0,-14.419791,96.0
28224.0,-12.073844,96.0
28320.0,-14.337615,96.0
28416.0,-13.911166,96.0
28512.0,-13.931101,96.0
28608.0,-14.336206,96.0
28704.0,-12.736308,96.0
28800.0,-11.184085,96.0
28896.0,-13.007071,96.0
28992.0,-13.896037,96.0
29088.0,-11.332991,96.0
29184.0,-14.152586,96.0
29280.0,-14.248538,96.0
29376.0,-12.632941,96.0
29472.0,-12.139881,96.0
29568.0,-14.447744,96.0
29664.0,-12.799833,96.0
29760.0,-11.761814,96.0
29856.0,-12.016965,96.0
29952.0,-12.428623,96.0
30048.0,-12.799584,96.0
30144.0,-12.741778,96.0
30240.0,-14.195444,96.0
30336.0,-12.156581,96.0
30432.0,-13.207891,96.0
30528.0,-13.301195,96.0
30624.0,-13.862326,96.0
30720.0,-13.890345,96.0
30816.0,-12.349135,96.0
30912.0,-11.731398,96.0
31008.0,-13.35045,96.0
31104.0,-13.953279,96.0
31200.0,-14.15877,96.0
31296.0,-13.832426,96.0
31392.0,-13.68845,96.0
31488.0,-11.046891,96.0
31584.0,-12.651976,96.0
31680.0,-14.298797,96.0
31776.0,-14.332018,96.0
31872.0,-13.129786,96.0
31968.0,-12.615899,96.0
32064.0,-14.078483,96.0
32160.0,-14.354597,96.0
32256.0,-13.260298,96.0
32352.0,-13.556219,96.0
32448.0,-12.661031,96.0
32544.0,-13.904296,96.0
32640.0,-14.524648,96.0
32736.0,-13.203789,96.0
32832.0,-13.164259,96.0
32928.0,-14.007648,96.0
33024.0,-13.908235,96.0
33120.0,-14.792531,96.0
33216.0,-13.218345,96.0
33312.0,-13.504766,96.0
33408.0,-14.098562,96.0
33504.0,-13.644808,96.0
33600.0,-13.101828,96.0
33696.0,-14.212339,96.0
33792.0,-10.684078,96.0
33888.0,-12.532733,96.0
33984.0,-14.20925,96.0
34080.0,-13.818723,96.0
34176.0,-13.515632,96.0
34272.0,-13.386208,96.0
34368.0,-14.058742,96.0
34464.0,-10.052568,96.0
34560.0,-13.300854,96.0
34656.0,-13.931787,96.0
34752.0,-14.124804,96.0
34848.0,-14.20435,96.0
34944.0,-14.085947,96.0
35040.0,-12.658339,96.0
35136.0,-13.734665,96.0
35232.0,-13.825454,96.0
35328.0,-12.756388,96.0
35424.0,-11.109072,96.0
35520.0,-13.725827,96.0
35616.0,-11.977431,96.0
35712.0,-11.998296,96.0
35808.0,-14.010459,96.0
35904.0,-13.030931,96.0
36000.0,-14.419276,96.0
36096.0,-10.392892,96.0
36192.0,-13.19638,96.0
36288.0,-13.380915,96.0
36384.0,-12.876777,96.0
36480.0,-13.515189,96.0
36576.0,-11.279948,96.0
36672.0,-14.053296,96.0
