policy,total_reward,total_served_rentals,total_lost_rentals,total_accepted_returns,total_overflow_returns,total_reposition_distance_km,total_moved_bikes,rental_satisfaction_rate,return_acceptance_rate,district_id,district_name,status,reason,saved_rentals_vs_no_rebalancing,lost_rentals_improvement_vs_no_rebalancing_pct,distance_per_saved_rental
No Rebalancing Local,-62.38360566491027,25238.0,7699.0,25282.0,8453.0,0.0,0.0,0.7662507210735647,0.7494293760189714,0,종로구,evaluated,,0.0,0.0,0.0
Local Greedy,-54.03742488896359,25848.0,7089.0,25914.0,7821.0,4534.801263391972,1708.0,0.7847709263138719,0.7681636282792352,0,종로구,evaluated,,610.0,7.9231068969996095,7.434100431790117
Local DQN,-55.87215238945433,25784.0,7153.0,25844.0,7891.0,3398.381111115217,1624.0,0.7828278228132496,0.7660886319845858,0,종로구,evaluated,,546.0,7.091830107806209,6.224141229148749
No Rebalancing Local,-61.99596980982575,18964.0,6085.0,18977.0,5143.0,0.0,0.0,0.757076130783664,0.7867744610281924,1,중구,evaluated,,0.0,0.0,0.0
Local Greedy,-50.025114374783605,19621.0,5428.0,19665.0,4455.0,2904.3082423359156,1606.0,0.7833047227434229,0.8152985074626866,1,중구,evaluated,,657.0,10.797041906327033,4.420560490617832
Local DQN,-52.591242925727116,19541.0,5508.0,19569.0,4551.0,2950.459428846836,1567.0,0.7801109824743503,0.811318407960199,1,중구,evaluated,,577.0,9.482333607230895,5.1134478836167006
No Rebalancing Local,-54.52027670279811,17379.0,4353.0,17291.0,4101.0,0.0,0.0,0.7996963003865267,0.8082928197456993,2,용산구,evaluated,,0.0,0.0,0.0
Local Greedy,-41.61435742762815,18128.0,3604.0,18045.0,3347.0,4055.383032903075,1846.0,0.8341616050064421,0.843539640987285,2,용산구,evaluated,,749.0,17.20652423615897,5.4143965726342795
Local DQN,-45.71875631609757,17879.0,3853.0,17802.0,3590.0,3351.2558553665876,1509.0,0.8227038468617707,0.8321802543006731,2,용산구,evaluated,,500.0,11.486331265793707,6.702511710733175
No Rebalancing Local,-61.070305813268405,20045.0,6614.0,20067.0,5653.0,0.0,0.0,0.7519036723057879,0.7802099533437014,3,성동구,evaluated,,0.0,0.0,0.0
Local Greedy,-53.38783359644038,20341.0,6318.0,20390.0,5330.0,3905.7102237939835,1673.0,0.7630068644735362,0.7927682737169518,3,성동구,evaluated,,296.0,4.475355306924706,13.194966972276971
Local DQN,-53.5941515992033,20540.0,6119.0,20573.0,5147.0,3644.3492910414934,1667.0,0.7704715105592858,0.7998833592534992,3,성동구,evaluated,,495.0,7.4841245842153015,7.362321800083825
No Rebalancing Local,-46.77034122282616,13599.0,3057.0,13625.0,2884.0,0.0,0.0,0.8164625360230547,0.825307408080441,4,광진구,evaluated,,0.0,0.0,0.0
Local Greedy,-29.13665951080778,14386.0,2270.0,14447.0,2062.0,3656.4778702259064,1869.0,0.8637127761767531,0.8750984311587618,4,광진구,evaluated,,787.0,25.744193653909058,4.646096404353121
Local DQN,-33.072191681273765,14153.0,2503.0,14202.0,2307.0,3324.921590000391,1730.0,0.849723823246878,0.8602580410685081,4,광진구,evaluated,,554.0,18.122342165521754,6.001663519856302
No Rebalancing Local,-58.52837217828526,21695.0,6687.0,21660.0,6519.0,0.0,0.0,0.7643929250933691,0.7686575109123815,5,동대문구,evaluated,,0.0,0.0,0.0
Local Greedy,-48.937373141578796,22140.0,6242.0,22144.0,6035.0,3329.957703590393,1862.0,0.7800718765414699,0.7858334220518826,5,동대문구,evaluated,,445.0,6.654703155376103,7.483051019304254
Local DQN,-50.909759052368415,22230.0,6152.0,22234.0,5945.0,3758.6398246884346,1888.0,0.7832429004298499,0.7890272898257568,5,동대문구,evaluated,,535.0,8.000598175564528,7.025494999417635
No Rebalancing Local,-55.905113620497374,20541.0,5700.0,20581.0,4484.0,0.0,0.0,0.782782668343432,0.8211051266706563,6,중랑구,evaluated,,0.0,0.0,0.0
Local Greedy,-44.82825600848834,21140.0,5101.0,21211.0,3854.0,4505.737765312195,2028.0,0.8056095423192714,0.8462397765808897,6,중랑구,evaluated,,599.0,10.508771929824562,7.522099775145567
Local DQN,-46.93436112586008,21145.0,5096.0,21207.0,3858.0,3676.147429510951,1825.0,0.8058000838382684,0.8460801915020946,6,중랑구,evaluated,,604.0,10.596491228070175,6.086336803826078
No Rebalancing Local,-61.532507351770896,19842.0,6310.0,19883.0,6184.0,0.0,0.0,0.7587182624655858,0.7627651820309204,7,성북구,evaluated,,0.0,0.0,0.0
Local Greedy,-54.22795033926114,20172.0,5980.0,20252.0,5815.0,4464.957778811455,1680.0,0.7713368002447232,0.7769210112402655,7,성북구,evaluated,,330.0,5.229793977812995,13.53017508730744
Local DQN,-55.307692601441836,20142.0,6010.0,20237.0,5830.0,4744.878014743328,1699.0,0.7701896604466197,0.7763455710285034,7,성북구,evaluated,,300.0,4.754358161648177,15.816260049144427
No Rebalancing Local,-65.23336383588885,17071.0,5962.0,17107.0,5646.0,0.0,0.0,0.7411539964398906,0.7518568979914737,8,강북구,evaluated,,0.0,0.0,0.0
Local Greedy,-54.34192783357223,17508.0,5525.0,17560.0,5193.0,3669.290767788887,1811.0,0.7601267746277081,0.7717663604799367,8,강북구,evaluated,,437.0,7.329755115732975,8.396546379379604
Local DQN,-57.04937477107214,17440.0,5593.0,17478.0,5275.0,2157.602525740862,1131.0,0.7571744887769721,0.7681624401177867,8,강북구,evaluated,,369.0,6.18919825561892,5.847161316370899
No Rebalancing Local,-59.44550875054272,21507.0,6545.0,21444.0,5902.0,0.0,0.0,0.7666833024383288,0.7841731880348132,9,도봉구,evaluated,,0.0,0.0,0.0
Local Greedy,-48.54004549379644,22030.0,6022.0,21982.0,5364.0,4548.156626492739,1907.0,0.7853272493939826,0.803846997732758,9,도봉구,evaluated,,523.0,7.99083269671505,8.696284180674452
Local DQN,-48.78726299934016,22091.0,5961.0,22056.0,5290.0,3628.815864175558,1791.0,0.7875017824041066,0.8065530607767132,9,도봉구,evaluated,,584.0,8.922841864018334,6.213725794821161
No Rebalancing Local,-65.86999763750109,33256.0,11266.0,33218.0,9929.0,0.0,0.0,0.7469565608014016,0.7698797135374418,10,노원구,evaluated,,0.0,0.0,0.0
Local Greedy,-59.575942236597115,33664.0,10858.0,33638.0,9509.0,4152.133017361164,1676.0,0.7561205696060375,0.7796138781375298,10,노원구,evaluated,,408.0,3.6215160660394106,10.176796611179324
Local DQN,-57.840532084952784,34038.0,10484.0,34007.0,9140.0,5468.557604312897,1927.0,0.7645209110102871,0.7881660370361786,10,노원구,evaluated,,782.0,6.941239126575536,6.993040414722374
No Rebalancing Local,-57.44265314357825,28766.0,7837.0,28734.0,8076.0,0.0,0.0,0.7858918667868754,0.7806030969845151,11,은평구,evaluated,,0.0,0.0,0.0
Local Greedy,-50.56663444233596,29350.0,7253.0,29339.0,7471.0,5408.718448877335,1973.0,0.8018468431549327,0.7970388481390926,11,은평구,evaluated,,584.0,7.451831057802731,9.261504193283107
Local DQN,-51.831553840529835,29256.0,7347.0,29250.0,7560.0,4788.396189302206,1810.0,0.7992787476436358,0.7946210268948656,11,은평구,evaluated,,490.0,6.252392497129003,9.77223712102491
No Rebalancing Local,-46.525458579237366,23159.0,5646.0,23184.0,5558.0,0.0,0.0,0.803992362437077,0.8066244520214321,12,서대문구,evaluated,,0.0,0.0,0.0
Local Greedy,-40.40521300093776,23670.0,5135.0,23693.0,5049.0,4921.728315651417,1929.0,0.8217323381357403,0.8243337276459537,12,서대문구,evaluated,,511.0,9.050655331207935,9.63156226154876
Local DQN,-43.220998265710705,23471.0,5334.0,23502.0,5240.0,4389.682200491428,1786.0,0.814823815309842,0.8176884002505045,12,서대문구,evaluated,,312.0,5.526036131774708,14.069494232344322
No Rebalancing Local,-55.810534002129984,39406.0,12467.0,39349.0,12699.0,0.0,0.0,0.7596630231526998,0.7560136796802951,13,마포구,evaluated,,0.0,0.0,0.0
Local Greedy,-52.86305995047179,39621.0,12252.0,39572.0,12476.0,5353.195823609829,1784.0,0.7638077612630848,0.7602981862895789,13,마포구,evaluated,,215.0,1.7245528194433302,24.898585226092226
Local DQN,-53.09912703409473,39770.0,12103.0,39727.0,12321.0,5562.423749387264,1710.0,0.76668016116284,0.7632762065785429,13,마포구,evaluated,,364.0,2.9197080291970803,15.281383926888088
No Rebalancing Local,-52.4751446849055,25021.0,6045.0,24997.0,6003.0,0.0,0.0,0.8054142792763793,0.8063548387096774,14,양천구,evaluated,,0.0,0.0,0.0
Local Greedy,-42.32865450028266,25767.0,5299.0,25769.0,5231.0,4865.366674125195,2174.0,0.8294276701216764,0.831258064516129,14,양천구,evaluated,,746.0,12.340777502067825,6.521939241454684
Local DQN,-44.56119738261788,25722.0,5344.0,25700.0,5300.0,4830.247024178505,2032.0,0.8279791411832872,0.8290322580645161,14,양천구,evaluated,,701.0,11.596360628618694,6.890509306959351
No Rebalancing Local,-45.518060646637714,41281.0,8749.0,41346.0,8186.0,0.0,0.0,0.825124925044973,0.8347331018331584,15,강서구,evaluated,,0.0,0.0,0.0
Local Greedy,-38.89082679651365,42171.0,7859.0,42261.0,7271.0,5505.387418270111,2206.0,0.8429142514491306,0.8532060082370992,15,강서구,evaluated,,890.0,10.17259115327466,6.185828559854057
Local DQN,-39.7541367075612,42085.0,7945.0,42159.0,7373.0,5256.113927483559,2111.0,0.8411952828303019,0.8511467334248567,15,강서구,evaluated,,804.0,9.18962167104812,6.537455133686018
No Rebalancing Local,-61.30406869088354,30077.0,10030.0,30158.0,9545.0,0.0,0.0,0.7499189667639066,0.759589955418986,16,구로구,evaluated,,0.0,0.0,0.0
Local Greedy,-54.66933996819081,30618.0,9489.0,30737.0,8966.0,7155.143239945173,2081.0,0.7634078839105393,0.7741732362793744,16,구로구,evaluated,,541.0,5.393818544366899,13.225773086774812
Local DQN,-57.08820071797918,30461.0,9646.0,30567.0,9136.0,4518.221767753363,1343.0,0.7594933552746403,0.7698914439714883,16,구로구,evaluated,,384.0,3.8285144566301095,11.76620252019105
No Rebalancing Local,-53.061458341550505,23302.0,6205.0,23311.0,5240.0,0.0,0.0,0.7897109160538177,0.8164687751742495,17,금천구,evaluated,,0.0,0.0,0.0
Local Greedy,-42.88724325364611,23925.0,5582.0,23950.0,4601.0,3418.7986822724342,1942.0,0.8108245501067544,0.8388497775909776,17,금천구,evaluated,,623.0,10.040290088638194,5.4876383343056725
Local DQN,-44.44501961399781,23858.0,5649.0,23891.0,4660.0,3570.6681092083454,1864.0,0.8085539024638222,0.8367833000595426,17,금천구,evaluated,,556.0,8.96051571313457,6.4220649446193265
No Rebalancing Local,-57.460976424277334,47050.0,14356.0,47084.0,14093.0,0.0,0.0,0.7662117708367261,0.7696356473838207,18,영등포구,evaluated,,0.0,0.0,0.0
Local Greedy,-50.99460092812931,47766.0,13640.0,47828.0,13349.0,5243.683574914932,2285.0,0.7778718691984496,0.7817970806021871,18,영등포구,evaluated,,716.0,4.987461688492616,7.3235804118923635
Local DQN,-52.07150378522437,47872.0,13534.0,47924.0,13253.0,4966.200164139271,2169.0,0.7795980848776992,0.7833662977916537,18,영등포구,evaluated,,822.0,5.72582892170521,6.04160603909887
No Rebalancing Local,-64.50988304755109,30727.0,12043.0,30814.0,12772.0,0.0,0.0,0.7184241290624269,0.7069701280227596,19,동작구,evaluated,,0.0,0.0,0.0
Local Greedy,-57.42287444510335,31587.0,11183.0,31716.0,11870.0,6492.54100561142,2226.0,0.7385316810848725,0.7276648465103474,19,동작구,evaluated,,860.0,7.141077804533754,7.549466285594674
Local DQN,-60.42789035025984,31276.0,11494.0,31379.0,12207.0,5527.359371766448,2020.0,0.7312602291325696,0.7199330060111044,19,동작구,evaluated,,549.0,4.558664784522129,10.068049857498083
No Rebalancing Local,-60.430921288201674,12669.0,3628.0,12663.0,3259.0,0.0,0.0,0.7773823403080321,0.7953146589624419,20,관악구,evaluated,,0.0,0.0,0.0
Local Greedy,-41.408431785601955,13444.0,2853.0,13440.0,2482.0,4073.193327128887,1943.0,0.8249371049886483,0.8441150609219947,20,관악구,evaluated,,775.0,21.361631753031972,5.255733325327596
Local DQN,-47.95234155234475,13242.0,3055.0,13256.0,2666.0,3803.1553034335375,1687.0,0.8125421856783457,0.8325587237784198,20,관악구,evaluated,,573.0,15.793825799338478,6.637269290459926
No Rebalancing Local,-50.42331501903622,32932.0,7586.0,32956.0,8028.0,0.0,0.0,0.8127745693272126,0.8041186804606676,21,서초구,evaluated,,0.0,0.0,0.0
Local Greedy,-44.70074779625487,33512.0,7006.0,33571.0,7413.0,6497.831193834543,1771.0,0.827089194925712,0.8191245364044505,21,서초구,evaluated,,580.0,7.645663063538096,11.203157230749213
Local DQN,-46.41241815559834,33424.0,7094.0,33474.0,7510.0,5762.168073773384,1555.0,0.8249173206969742,0.8167577591255124,21,서초구,evaluated,,492.0,6.485631426311627,11.711723727181676
No Rebalancing Local,-66.4779817816591,33732.0,12088.0,33781.0,10553.0,0.0,0.0,0.7361850720209515,0.7619659854739026,22,강남구,evaluated,,0.0,0.0,0.0
Local Greedy,-60.64444290666575,34315.0,11505.0,34385.0,9949.0,6616.428477078676,2008.0,0.7489087734613706,0.7755898407542744,22,강남구,evaluated,,583.0,4.822964923891463,11.348933922947987
Local DQN,-61.69083099413754,34290.0,11530.0,34346.0,9988.0,5830.382127046585,1898.0,0.7483631601920558,0.7747101547345153,22,강남구,evaluated,,558.0,4.616148246194573,10.448713489330798
No Rebalancing Local,-51.51593922345234,44875.0,11965.0,44909.0,10348.0,0.0,0.0,0.789496833216045,0.8127296089183271,23,송파구,evaluated,,0.0,0.0,0.0
Local Greedy,-48.35725095638157,45226.0,11614.0,45298.0,9959.0,5634.287948399782,2041.0,0.7956720619282196,0.819769440975804,23,송파구,evaluated,,351.0,2.9335562055996656,16.052102417093398
Local DQN,-47.53252183920778,45453.0,11387.0,45517.0,9740.0,5768.443645596504,2080.0,0.7996657283603097,0.8237327397433809,23,송파구,evaluated,,578.0,4.830756372753865,9.980006307260387
No Rebalancing Local,-57.213361946950364,31671.0,9525.0,31708.0,10114.0,0.0,0.0,0.7687882318671716,0.7581655587968055,24,강동구,evaluated,,0.0,0.0,0.0
Local Greedy,-52.34773171197871,31882.0,9314.0,31935.0,9887.0,4991.378427028656,1960.0,0.773910088358093,0.7635933240878007,24,강동구,evaluated,,211.0,2.215223097112861,23.655821929045764
Local DQN,-52.831861656628554,31883.0,9313.0,31934.0,9888.0,4913.77951669693,1921.0,0.7739343625594718,0.763569413227488,24,강동구,evaluated,,212.0,2.2257217847769026,23.178205267438347
Local DQN,-1260.597079442684,687046.0,185207.0,687835.0,175666.0,109591.24970979989,44344.0,0.787668256801639,0.7965653774575826,-1,ALL,aggregate,,13241.0,6.672276868499556,8.276659595936854
Local Greedy,-1217.1399372944118,687832.0,184421.0,688742.0,174759.0,119904.59684875607,47989.0,0.7885693715011585,0.7976157526163837,-1,ALL,aggregate,,14027.0,7.0683503990969925,8.548128384455413
No Rebalancing Local,-1433.4251194081658,673805.0,198448.0,674129.0,189372.0,0.0,0.0,0.7724880281294533,0.7806927843743088,-1,ALL,aggregate,,0.0,0.0,0.0
