district_id,district_name,station_count,total_demand,model_path,final_mean_reward,total_timesteps,status,reason
0,종로구,49,173648.0,models/local_dqn/local_dqn_district_0.zip,-13.2494263,100000,trained,
1,중구,45,123627.0,models/local_dqn/local_dqn_district_1.zip,-12.7752059,100000,trained,
2,용산구,38,105372.0,models/local_dqn/local_dqn_district_2.zip,-9.830374199999998,100000,trained,
3,성동구,36,134743.0,models/local_dqn/local_dqn_district_3.zip,-13.112514200000001,100000,trained,
4,광진구,23,81121.0,models/local_dqn/local_dqn_district_4.zip,-7.865989900000001,100000,trained,
5,동대문구,49,137411.0,models/local_dqn/local_dqn_district_5.zip,-11.767756199999999,100000,trained,
6,중랑구,51,127324.0,models/local_dqn/local_dqn_district_6.zip,-10.66969,100000,trained,
7,성북구,47,131947.0,models/local_dqn/local_dqn_district_7.zip,-12.453036399999998,100000,trained,
8,강북구,39,112814.0,models/local_dqn/local_dqn_district_8.zip,-13.905363600000001,100000,trained,
9,도봉구,42,142372.0,models/local_dqn/local_dqn_district_9.zip,-12.9814298,100000,trained,
10,노원구,74,223521.0,models/local_dqn/local_dqn_district_10.zip,-13.030431799999999,100000,trained,
11,은평구,63,179621.0,models/local_dqn/local_dqn_district_11.zip,-10.556969200000001,100000,trained,
12,서대문구,52,146517.0,models/local_dqn/local_dqn_district_12.zip,-11.864374500000002,100000,trained,
13,마포구,68,279223.0,models/local_dqn/local_dqn_district_13.zip,-13.4631976,100000,trained,
14,양천구,68,157864.0,models/local_dqn/local_dqn_district_14.zip,-9.140467399999999,100000,trained,
15,강서구,91,251550.0,models/local_dqn/local_dqn_district_15.zip,-9.2582287,100000,trained,
16,구로구,68,198730.0,models/local_dqn/local_dqn_district_16.zip,-12.8212627,100000,trained,
17,금천구,44,142100.0,models/local_dqn/local_dqn_district_17.zip,-10.5161093,100000,trained,
18,영등포구,91,309675.0,models/local_dqn/local_dqn_district_18.zip,-12.426678299999999,100000,trained,
19,동작구,45,214888.0,models/local_dqn/local_dqn_district_19.zip,-14.9320688,100000,trained,
20,관악구,40,82505.0,models/local_dqn/local_dqn_district_20.zip,-11.4422244,100000,trained,
21,서초구,91,204152.0,models/local_dqn/local_dqn_district_21.zip,-10.769406499999999,100000,trained,
22,강남구,73,218728.0,models/local_dqn/local_dqn_district_22.zip,-14.0344221,100000,trained,
23,송파구,107,276797.0,models/local_dqn/local_dqn_district_23.zip,-11.287962,100000,trained,
24,강동구,58,203048.0,models/local_dqn/local_dqn_district_24.zip,-13.654839599999999,100000,trained,
