timesteps,episode_reward,episode_length
96.0,-12.869835,96.0
192.0,-14.519852,96.0
288.0,-15.316796,96.0
384.0,-13.627031,96.0
480.0,-13.282738,96.0
576.0,-11.726951,96.0
672.0,-14.790596,96.0
768.0,-12.461134,96.0
864.0,-13.299683,96.0
960.0,-13.19388,96.0
1056.0,-14.163303,96.0
1152.0,-12.0699,96.0
1248.0,-13.141664,96.0
1344.0,-12.13741,96.0
1440.0,-12.855044,96.0
1536.0,-12.001052,96.0
1632.0,-11.609936,96.0
1728.0,-13.781077,96.0
1824.0,-11.900249,96.0
1920.0,-13.48392,96.0
2016.0,-11.786145,96.0
2112.0,-14.285863,96.0
2208.0,-12.165494,96.0
2304.0,-13.178427,96.0
2400.0,-9.469087,96.0
2496.0,-11.743479,96.0
2592.0,-13.356127,96.0
2688.0,-13.008682,96.0
2784.0,-13.012943,96.0
2880.0,-14.569869,96.0
2976.0,-14.435125,96.0
3072.0,-16.415788,96.0
3168.0,-13.188722,96.0
3264.0,-13.263933,96.0
3360.0,-12.07051,96.0
3456.0,-13.769726,96.0
3552.0,-12.198495,96.0
3648.0,-14.566653,96.0
3744.0,-13.07723,96.0
3840.0,-13.883667,96.0
3936.0,-12.724991,96.0
4032.0,-12.024279,96.0
4128.0,-13.336009,96.0
4224.0,-14.916273,96.0
4320.0,-13.252344,96.0
4416.0,-12.636116,96.0
4512.0,-13.683093,96.0
4608.0,-9.94463,96.0
4704.0,-14.999903,96.0
4800.0,-9.023644,96.0
4896.0,-13.377251,96.0
4992.0,-12.96881,96.0
5088.0,-13.781663,96.0
5184.0,-8.891971,96.0
5280.0,-11.303861,96.0
5376.0,-12.316831,96.0
5472.0,-13.907176,96.0
5568.0,-12.610425,96.0
5664.0,-12.896824,96.0
5760.0,-13.402586,96.0
5856.0,-13.47509,96.0
5952.0,-13.908837,96.0
6048.0,-12.423717,96.0
6144.0,-13.611504,96.0
6240.0,-11.983708,96.0
6336.0,-14.232265,96.0
6432.0,-11.489858,96.0
6528.0,-14.403531,96.0
6624.0,-12.747913,96.0
6720.0,-13.696908,96.0
6816.0,-12.596232,96.0
6912.0,-11.192523,96.0
7008.0,-13.425152,96.0
7104.0,-12.929147,96.0
7200.0,-13.261178,96.0
7296.0,-13.435679,96.0
7392.0,-11.708639,96.0
7488.0,-13.455011,96.0
7584.0,-8.519108,96.0
7680.0,-10.946642,96.0
7776.0,-13.03229,96.0
7872.0,-13.902831,96.0
7968.0,-13.880709,96.0
8064.0,-12.356121,96.0
8160.0,-13.161285,96.0
8256.0,-16.64296,96.0
8352.0,-13.580008,96.0
8448.0,-13.366385,96.0
8544.0,-12.038751,96.0
8640.0,-17.099223,96.0
8736.0,-13.744691,96.0
8832.0,-13.838838,96.0
8928.0,-12.472289,96.0
9024.0,-13.182882,96.0
9120.0,-12.615556,96.0
9216.0,-9.208119,96.0
9312.0,-13.061771,96.0
9408.0,-10.137802,96.0
9504.0,-10.956361,96.0
9600.0,-13.552251,96.0
9696.0,-13.95536,96.0
9792.0,-10.056967,96.0
9888.0,-13.109712,96.0
9984.0,-13.193198,96.0
10080.0,-13.521018,96.0
10176.0,-10.331945,96.0
10272.0,-14.225841,96.0
10368.0,-12.761583,96.0
10464.0,-13.370064,96.0
10560.0,-8.5045,96.0
10656.0,-9.852755,96.0
10752.0,-13.129803,96.0
10848.0,-10.82306,96.0
10944.0,-16.037165,96.0
11040.0,-9.755692,96.0
11136.0,-12.647557,96.0
11232.0,-11.072112,96.0
11328.0,-13.176261,96.0
11424.0,-12.608598,96.0
11520.0,-14.441481,96.0
11616.0,-11.792907,96.0
11712.0,-12.509179,96.0
11808.0,-10.111865,96.0
11904.0,-11.578876,96.0
12000.0,-12.582221,96.0
12096.0,-13.213377,96.0
12192.0,-12.808151,96.0
12288.0,-13.227454,96.0
12384.0,-10.299976,96.0
12480.0,-12.143601,96.0
12576.0,-12.283134,96.0
12672.0,-12.989882,96.0
12768.0,-9.334362,96.0
12864.0,-13.61845,96.0
12960.0,-12.994861,96.0
13056.0,-13.342526,96.0
13152.0,-15.046749,96.0
13248.0,-11.468992,96.0
13344.0,-14.156678,96.0
13440.0,-16.075872,96.0
13536.0,-13.563132,96.0
13632.0,-15.251392,96.0
13728.0,-14.424204,96.0
13824.0,-13.192678,96.0
13920.0,-13.749814,96.0
14016.0,-14.483835,96.0
14112.0,-10.952867,96.0
14208.0,-17.366626,96.0
14304.0,-13.658497,96.0
14400.0,-13.613201,96.0
14496.0,-11.788087,96.0
14592.0,-9.369724,96.0
14688.0,-11.359694,96.0
14784.0,-12.545314,96.0
14880.0,-11.942176,96.0
14976.0,-14.093533,96.0
15072.0,-15.961062,96.0
15168.0,-12.841735,96.0
15264.0,-16.542763,96.0
15360.0,-12.967377,96.0
15456.0,-14.337616,96.0
15552.0,-13.982407,96.0
15648.0,-16.938312,96.0
15744.0,-13.506202,96.0
15840.0,-14.788994,96.0
15936.0,-13.060185,96.0
16032.0,-13.921196,96.0
16128.0,-9.265356,96.0
16224.0,-10.38753,96.0
16320.0,-14.560384,96.0
16416.0,-12.898608,96.0
16512.0,-17.086885,96.0
16608.0,-13.492259,96.0
16704.0,-13.262194,96.0
16800.0,-13.194881,96.0
16896.0,-13.234664,96.0
16992.0,-12.93447,96.0
17088.0,-13.933294,96.0
17184.0,-12.950219,96.0
17280.0,-15.069864,96.0
17376.0,-11.952836,96.0
17472.0,-13.757608,96.0
17568.0,-11.443263,96.0
17664.0,-11.650576,96.0
17760.0,-11.484982,96.0
17856.0,-13.950291,96.0
17952.0,-12.374918,96.0
18048.0,-11.172693,96.0
18144.0,-13.892993,96.0
18240.0,-13.474503,96.0
18336.0,-13.615699,96.0
18432.0,-12.156978,96.0
18528.0,-14.326105,96.0
18624.0,-7.715974,96.0
18720.0,-10.440376,96.0
18816.0,-12.670203,96.0
18912.0,-13.378932,96.0
19008.0,-12.584024,96.0
19104.0,-11.700672,96.0
19200.0,-7.664014,96.0
19296.0,-12.779345,96.0
19392.0,-12.722962,96.0
19488.0,-12.698319,96.0
19584.0,-9.91662,96.0
19680.0,-13.626054,96.0
19776.0,-15.320939,96.0
19872.0,-12.439217,96.0
19968.0,-12.495644,96.0
20064.0,-12.56161,96.0
20160.0,-12.724358,96.0
20256.0,-15.914524,96.0
20352.0,-12.40073,96.0
20448.0,-9.531332,96.0
20544.0,-12.880157,96.0
20640.0,-15.643886,96.0
20736.0,-9.87634,96.0
20832.0,-11.637496,96.0
20928.0,-13.358251,96.0
21024.0,-12.698334,96.0
21120.0,-8.411048,96.0
21216.0,-12.863854,96.0
21312.0,-13.929026,96.0
21408.0,-12.693549,96.0
21504.0,-10.559395,96.0
21600.0,-13.299202,96.0
21696.0,-15.698064,96.0
21792.0,-9.049278,96.0
21888.0,-12.736764,96.0
21984.0,-13.419467,96.0
22080.0,-8.901582,96.0
22176.0,-13.005736,96.0
22272.0,-10.666512,96.0
22368.0,-13.120594,96.0
22464.0,-12.563481,96.0
22560.0,-13.150894,96.0
22656.0,-13.119591,96.0
22752.0,-12.936432,96.0
22848.0,-12.667506,96.0
22944.0,-13.898972,96.0
23040.0,-14.547882,96.0
23136.0,-12.752614,96.0
23232.0,-10.069515,96.0
23328.0,-13.344839,96.0
23424.0,-11.082408,96.0
23520.0,-16.647165,96.0
23616.0,-8.55466,96.0
23712.0,-14.255194,96.0
23808.0,-11.779717,96.0
23904.0,-16.220374,96.0
24000.0,-13.231703,96.0
24096.0,-10.700616,96.0
24192.0,-12.291941,96.0
24288.0,-14.814267,96.0
24384.0,-11.28981,96.0
24480.0,-12.700155,96.0
24576.0,-12.784821,96.0
24672.0,-13.513569,96.0
24768.0,-12.474846,96.0
24864.0,-11.705157,96.0
24960.0,-12.656953,96.0
25056.0,-13.025538,96.0
25152.0,-13.759181,96.0
25248.0,-16.931317,96.0
25344.0,-13.273556,96.0
25440.0,-12.499825,96.0
25536.0,-10.525399,96.0
25632.0,-13.300464,96.0
25728.0,-11.145839,96.0
25824.0,-11.005726,96.0
25920.0,-13.532027,96.0
26016.0,-12.876658,96.0
26112.0,-8.425478,96.0
26208.0,-13.141206,96.0
26304.0,-12.792902,96.0
26400.0,-13.222375,96.0
26496.0,-13.047455,96.0
26592.0,-10.407513,96.0
26688.0,-13.288211,96.0
26784.0,-13.702914,96.0
26880.0,-12.598354,96.0
26976.0,-12.463765,96.0
27072.0,-14.569749,96.0
27168.0,-13.852616,96.0
27264.0,-8.732572,96.0
27360.0,-13.619486,96.0
27456.0,-14.171548,96.0
27552.0,-13.100669,96.0
